Kabupaten,Prediksi_2025,Prediksi_2026,Prediksi_2027,Prediksi_2028,Prediksi_2029,Prediksi_2030
Aceh Barat,78.10914472053139,78.55312313244225,78.93482492972264,79.35582786220768,79.95258810862367,80.47242656494255
Aceh Barat Daya,72.62360486084732,73.00713832816683,73.54513948890856,74.16459193090274,74.709879656642,75.14475856553372
Aceh Besar,79.38537305451898,79.55105859909195,80.09586956994447,80.672199555583,81.00564358581404,81.08743790191834
Aceh Jaya,76.0334001302276,76.1313885835247,76.57848386787322,77.0416807262712,77.80203795005963,78.40072254553682
Aceh Selatan,73.04406460071834,73.60777860097231,74.10765242432278,74.58085841154957,74.99030226484419,75.3691165734963
Aceh Singkil,74.78660111219702,75.2213761518844,75.76774802065066,76.2476357503898,76.69791034944805,77.17266763204245
Aceh Tamiang,76.97950504695267,77.76621565699139,78.54834660783247,79.33227022981634,80.04371575261644,80.73430142152283
Aceh Tengah,80.02095427363875,80.30876222486157,80.85875591773085,81.51967828700928,82.12893866913443,82.6234181823857
Aceh Tenggara,76.29435640185481,76.94936718719259,77.59874370759637,78.21914811827406,78.81731857954081,79.40353518845505
Aceh Timur,74.13971731563639,74.41694305192961,74.99756593681579,75.58161179719725,76.1540854409714,76.71445209064899
Aceh Utara,75.65525727447158,76.17212637480608,77.0115142386503,77.73583598341806,78.23666863815471,78.61949861076471
Agam,79.23752293500759,79.44678741196911,79.99394522636965,80.72030781748676,81.40283629128396,81.82478984984824
Alor,67.26164758484245,67.73965591764824,68.62490722008818,69.35925581254983,69.9665892203183,70.40214166610272
Asahan,76.51457510758533,76.99556632004749,77.52925211179685,78.03621309592828,78.50836785535108,78.97817925052443
Asmat,55.545791780605114,55.99589064221207,57.01486502262447,57.492275750047966,57.763097967901075,57.88157134703045
Badung,89.67904281271078,90.07876691555572,90.64086889855255,91.26822071581165,91.93734019966571,92.46937717074836
Balangan,75.96565045346179,76.59834579289583,77.14735446294131,77.65644096601481,78.21401447350634,78.9449251836957
Bandung,79.09401646079209,79.54774697173892,80.06253618551668,80.5335094954822,80.97761511543106,81.42337427404352
Bandung Barat,74.48036415384297,75.04799630010254,75.58368306412379,76.0441077877226,76.45837449034305,76.92988917314193
Banggai,76.70651729148152,76.92692004700373,77.24917690559406,77.81796842867567,78.44384419636198,78.91265484668996
Banggai Kepulauan,71.42539328068334,71.76659527838649,72.28506408897438,72.92015208174162,73.52455848177858,73.98592514083796
Banggai Laut,71.31554390824435,71.67823252022782,72.01323137293807,72.32657335756332,72.65237102819289,72.96811649815751
Bangka,78.19692395861483,78.25306312468564,78.699295274617,79.27713699523486,79.7328905842068,79.87407708672332
Bangka Barat,74.89089134570217,75.25800633735284,75.5420856575448,75.8685393626924,76.21049889795465,76.51071759089085
Bangka Selatan,72.84946932768078,73.29106041361153,74.09205647108328,74.58327376489873,74.96177552176582,75.4326443797218
Bangka Tengah,76.1260374649251,76.47459925974019,76.73871530047701,76.9795136884091,77.26297098785425,77.52696607834709
Bangkalan,69.94335487436904,70.64180578090529,71.29783467704992,71.83451556049636,72.40349483166469,73.03978669833792
Bangli,75.15580415224488,75.42012712758638,75.92237441822004,76.62594557602878,77.08452929591368,77.27588363068482
Banjar,75.97617456468845,76.44699035023349,77.16326821011297,77.86918370052837,78.48193398374863,78.9415661728203
Banjarnegara,74.07706194228437,74.79587309598841,75.26685861251923,75.7967038072059,76.43946421206034,76.9927768814843
Bantaeng,76.01847801116455,76.50393031545745,76.97793079378906,77.71354342831175,78.59612287865605,79.51392416605061
Bantul,86.53171235843128,86.99864755505618,87.50826609794004,87.94901514215559,88.27654100613725,88.62530386338283
